Unnamed: 0,Date,Max.TemperatureF,Mean.TemperatureF,Min.TemperatureF,Max.Dew.PointF,MeanDew.PointF,Min.DewpointF,Max.Humidity,Mean.Humidity,Min.Humidity,Max.Sea.Level.PressureIn,Mean.Sea.Level.PressureIn,Min.Sea.Level.PressureIn,Max.VisibilityMiles,Mean.VisibilityMiles,Min.VisibilityMiles,Max.Wind.SpeedMPH,Mean.Wind.SpeedMPH,Max.Gust.SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees.br...,city,season
6589,1948-01-01,63.0,56.0,44.0,61.0,50.0,32.0,96.0,74.0,50.0,29.9,29.67,29.55,15.0,14.0,6.0,26.0,18.0,,0.00,0.0,Rain,198<br />,Atlanta (GA),Winter
6590,1948-01-02,41.0,36.0,32.0,31.0,26.0,22.0,82.0,68.0,60.0,30.0,29.85,29.65,15.0,13.0,7.0,22.0,18.0,,0.00,0.0,,292<br />,Atlanta (GA),Winter
6591,1948-01-03,51.0,40.0,28.0,29.0,25.0,20.0,89.0,61.0,29.0,30.12,30.06,30.0,15.0,10.0,1.0,20.0,11.0,,0.00,0.0,,322<br />,Atlanta (GA),Winter
6592,1948-01-04,54.0,44.0,35.0,37.0,30.0,24.0,79.0,60.0,38.0,30.07,29.99,29.87,15.0,10.0,3.0,30.0,10.0,,0.00,0.0,,270<br />,Atlanta (GA),Winter
6593,1948-01-05,46.0,38.0,30.0,32.0,26.0,23.0,76.0,63.0,42.0,30.24,30.16,30.05,15.0,10.0,4.0,20.0,16.0,,0.00,0.0,,332<br />,Atlanta (GA),Winter
6594,1948-01-06,55.0,42.0,30.0,33.0,28.0,21.0,85.0,58.0,41.0,30.24,30.18,30.11,15.0,8.0,4.0,18.0,9.0,,0.00,0.0,,308<br />,Atlanta (GA),Winter
6595,1948-01-07,52.0,41.0,30.0,22.0,18.0,15.0,61.0,42.0,25.0,30.28,30.22,30.19,15.0,9.0,4.0,15.0,10.0,,0.00,0.0,,322<br />,Atlanta (GA),Winter
6596,1948-01-08,61.0,47.0,33.0,43.0,29.0,16.0,80.0,50.0,34.0,30.25,30.19,30.14,15.0,9.0,4.0,12.0,8.0,,0.00,0.0,,253<br />,Atlanta (GA),Winter
6597,1948-01-09,66.0,57.0,48.0,55.0,47.0,35.0,97.0,75.0,60.0,30.14,30.08,30.01,10.0,8.0,2.0,20.0,12.0,,0.00,0.0,Fog-Rain,269<br />,Atlanta (GA),Winter
6598,1948-01-10,51.0,43.0,35.0,46.0,27.0,18.0,83.0,57.0,31.0,30.41,30.27,30.09,15.0,12.0,8.0,17.0,12.0,,0.00,0.0,,344<br />,Atlanta (GA),Winter
6599,1948-01-11,46.0,37.0,28.0,20.0,16.0,12.0,61.0,44.0,29.0,30.52,30.44,30.38,15.0,14.0,8.0,17.0,9.0,,0.00,0.0,,82<br />,Atlanta (GA),Winter
6600,1948-01-12,60.0,48.0,36.0,53.0,35.0,15.0,97.0,66.0,41.0,30.36,30.23,30.02,15.0,11.0,8.0,14.0,10.0,,0.00,0.0,Rain,136<br />,Atlanta (GA),Winter
6601,1948-01-13,57.0,42.0,28.0,57.0,36.0,15.0,100.0,82.0,56.0,30.16,30.03,29.91,15.0,12.0,8.0,30.0,17.0,,0.00,0.0,Rain-Thunderstorm,329<br />,Atlanta (GA),Winter
6602,1948-01-14,28.0,23.0,17.0,14.0,6.0,-1.0,63.0,50.0,35.0,30.45,30.27,30.14,15.0,12.0,1.0,20.0,17.0,,0.00,0.0,Snow,331<br />,Atlanta (GA),Winter
6603,1948-01-15,37.0,24.0,10.0,25.0,8.0,2.0,77.0,52.0,30.0,30.54,30.45,30.39,15.0,12.0,4.0,10.0,6.0,,0.00,0.0,,230<br />,Atlanta (GA),Winter
6604,1948-01-16,48.0,34.0,21.0,24.0,17.0,14.0,74.0,52.0,29.0,30.46,30.38,30.31,15.0,10.0,4.0,12.0,4.0,,0.00,0.0,,144<br />,Atlanta (GA),Winter
6605,1948-01-17,37.0,32.0,25.0,31.0,22.0,16.0,96.0,70.0,50.0,30.29,30.21,30.15,10.0,4.0,0.0,24.0,6.0,,0.00,0.0,Rain-Snow,349<br />,Atlanta (GA),Winter
