Unnamed: 0,Date,Max.TemperatureF,Mean.TemperatureF,Min.TemperatureF,Max.Dew.PointF,MeanDew.PointF,Min.DewpointF,Max.Humidity,Mean.Humidity,Min.Humidity,Max.Sea.Level.PressureIn,Mean.Sea.Level.PressureIn,Min.Sea.Level.PressureIn,Max.VisibilityMiles,Mean.VisibilityMiles,Min.VisibilityMiles,Max.Wind.SpeedMPH,Mean.Wind.SpeedMPH,Max.Gust.SpeedMPH,PrecipitationIn,CloudCover,Events,WindDirDegrees.br...,city,season
1,1948-06-30,,,,,,,,,,,,,,,,,,,0.00,,,-1<br />,Houston (TX),Summer
2,1948-07-01,90.0,80.0,69.0,74.0,70.0,67.0,100.0,76.0,52.0,30.11,30.06,30.02,10.0,8.0,3.0,23.0,7.0,,0.00,0.0,Fog,44<br />,Houston (TX),Summer
3,1948-07-02,87.0,80.0,73.0,76.0,74.0,71.0,97.0,84.0,67.0,30.12,30.07,30.04,10.0,8.0,3.0,14.0,6.0,,0.00,0.0,Fog-Rain-Thunderstorm,84<br />,Houston (TX),Summer
4,1948-07-03,84.0,80.0,75.0,79.0,75.0,70.0,100.0,86.0,67.0,30.08,30.05,30.01,9.0,7.0,3.0,10.0,5.0,,0.00,0.0,Fog-Rain,69<br />,Houston (TX),Summer
5,1948-07-04,88.0,80.0,73.0,77.0,75.0,73.0,97.0,83.0,61.0,30.05,30.03,30.01,15.0,9.0,0.0,12.0,6.0,,0.00,0.0,Fog-Rain-Thunderstorm,84<br />,Houston (TX),Summer
6,1948-07-05,88.0,82.0,75.0,76.0,74.0,72.0,94.0,82.0,59.0,30.08,30.04,30.0,15.0,11.0,7.0,14.0,5.0,,0.00,0.0,Rain-Thunderstorm,100<br />,Houston (TX),Summer
7,1948-07-06,95.0,84.0,73.0,75.0,72.0,70.0,97.0,74.0,48.0,30.05,29.99,29.91,10.0,8.0,1.0,12.0,5.0,,0.00,0.0,Fog,55<br />,Houston (TX),Summer
8,1948-07-07,96.0,84.0,73.0,75.0,72.0,71.0,93.0,71.0,46.0,29.97,29.93,29.88,8.0,6.0,3.0,5.0,3.0,,0.00,0.0,Fog,11<br />,Houston (TX),Summer
9,1948-07-08,91.0,82.0,73.0,75.0,73.0,68.0,97.0,84.0,55.0,29.98,29.95,29.93,10.0,6.0,3.0,13.0,5.0,,0.00,0.0,Fog-Rain-Thunderstorm,290<br />,Houston (TX),Summer
10,1948-07-09,93.0,82.0,72.0,77.0,74.0,71.0,100.0,77.0,52.0,30.02,29.98,29.92,15.0,10.0,4.0,12.0,5.0,,0.00,0.0,Fog,231<br />,Houston (TX),Summer
11,1948-07-10,93.0,84.0,75.0,77.0,75.0,73.0,97.0,77.0,54.0,30.0,29.95,29.9,15.0,11.0,8.0,16.0,5.0,,0.00,0.0,,213<br />,Houston (TX),Summer
12,1948-07-11,89.0,83.0,77.0,77.0,75.0,73.0,94.0,82.0,63.0,29.94,29.89,29.84,15.0,11.0,8.0,14.0,6.0,,0.00,0.0,Rain-Thunderstorm,173<br />,Houston (TX),Summer
13,1948-07-12,91.0,83.0,75.0,77.0,75.0,71.0,97.0,81.0,57.0,29.96,29.91,29.86,15.0,11.0,8.0,18.0,8.0,,0.00,0.0,Rain-Thunderstorm,168<br />,Houston (TX),Summer
14,1948-07-13,91.0,83.0,75.0,78.0,76.0,73.0,97.0,82.0,59.0,30.0,29.96,29.92,15.0,12.0,10.0,14.0,8.0,,0.00,0.0,Rain-Thunderstorm,172<br />,Houston (TX),Summer
15,1948-07-14,96.0,86.0,75.0,78.0,75.0,72.0,100.0,76.0,46.0,30.0,29.95,29.89,15.0,11.0,2.0,16.0,5.0,,0.00,0.0,Fog,198<br />,Houston (TX),Summer
16,1948-07-15,93.0,83.0,73.0,78.0,75.0,72.0,100.0,77.0,52.0,29.99,29.94,29.9,15.0,11.0,2.0,16.0,6.0,,0.00,0.0,Fog,172<br />,Houston (TX),Summer
17,1948-07-16,91.0,83.0,75.0,80.0,76.0,74.0,97.0,77.0,59.0,30.02,29.98,29.95,15.0,12.0,5.0,14.0,5.0,,0.00,0.0,,129<br />,Houston (TX),Summer
18,1948-07-17,91.0,84.0,77.0,80.0,76.0,73.0,94.0,80.0,61.0,30.07,30.02,29.98,15.0,12.0,9.0,15.0,5.0,,0.00,0.0,,132<br />,Houston (TX),Summer
19,1948-07-18,89.0,82.0,75.0,76.0,74.0,73.0,94.0,77.0,61.0,30.04,30.0,29.94,15.0,12.0,8.0,12.0,5.0,,0.00,0.0,Rain-Thunderstorm,140<br />,Houston (TX),Summer
20,1948-07-19,93.0,84.0,75.0,77.0,74.0,71.0,97.0,74.0,49.0,30.01,29.96,29.9,15.0,13.0,10.0,14.0,6.0,,0.00,0.0,Rain-Thunderstorm,177<br />,Houston (TX),Summer
21,1948-07-20,87.0,82.0,77.0,78.0,76.0,74.0,90.0,82.0,69.0,29.98,29.94,29.88,15.0,13.0,5.0,16.0,7.0,,0.00,0.0,Rain-Thunderstorm,179<br />,Houston (TX),Summer
22,1948-07-21,93.0,84.0,75.0,77.0,75.0,73.0,91.0,74.0,54.0,29.96,29.93,29.89,10.0,10.0,8.0,20.0,10.0,,0.00,0.0,,174<br />,Houston (TX),Summer
23,1948-07-22,96.0,86.0,77.0,78.0,75.0,73.0,96.0,75.0,52.0,29.95,29.91,29.86,10.0,10.0,8.0,18.0,10.0,,0.00,0.0,,179<br />,Houston (TX),Summer
