Year,Month,Max_Temperature,Min_Temperature,Mean_Temperature
1980,1,45.0,22.0,32.32258064516129
1980,2,44.0,17.0,29.571428571428573
1980,3,52.0,16.0,38.41935483870968
1980,4,62.0,42.0,51.666666666666664
1980,5,76.0,50.0,63.12903225806452
1980,6,80.0,56.0,68.13333333333334
1980,7,87.0,72.0,76.41935483870968
1980,8,87.0,70.0,77.80645161290323
1980,9,82.0,56.0,70.1
1980,10,70.0,46.0,56.32258064516129
1980,11,57.0,36.0,45.43333333333333
1980,12,50.0,14.0,33.70967741935484
1981,1,44.0,10.0,26.580645161290324
1981,2,52.0,16.0,38.642857142857146
1981,3,63.0,28.0,42.03225806451613
1981,4,68.0,44.0,53.53333333333333
1981,5,72.0,50.0,60.32258064516129
1981,6,78.0,60.0,70.46666666666667
1981,7,88.0,70.0,77.38709677419355
1981,8,83.0,68.0,75.3225806451613
1981,9,81.0,56.0,67.93333333333334
1981,10,62.0,47.0,54.903225806451616
1981,11,57.0,36.0,47.6
1981,12,52.0,24.0,37.354838709677416
1982,1,46.0,6.0,26.70967741935484
1982,2,50.0,26.0,35.785714285714285
1982,3,52.0,29.0,40.806451612903224
1982,4,63.0,24.0,49.13333333333333
1982,5,72.0,54.0,61.74193548387097
1982,6,75.0,54.0,66.7
1982,7,86.0,65.0,75.51612903225806
1982,8,80.0,60.0,72.64516129032258
1982,9,75.0,60.0,66.93333333333334
1982,10,72.0,44.0,57.54838709677419
1982,11,67.0,34.0,50.36666666666667
1982,12,62.0,20.0,43.45161290322581
1983,1,51.0,16.0,35.645161290322584
1983,2,50.0,21.0,36.107142857142854
1983,3,54.0,35.0,44.225806451612904
1983,4,64.0,40.0,51.4
1983,5,66.0,50.0,57.87096774193548
1983,6,82.0,60.0,71.5
1983,7,90.0,70.0,78.48387096774194
1983,8,88.0,62.0,76.58064516129032
1983,9,86.0,58.0,71.23333333333333
1983,10,71.0,43.0,58.806451612903224
1983,11,58.0,40.0,49.43333333333333
1983,12,59.0,6.0,35.83870967741935
1984,1,41.0,12.0,29.06451612903226
1984,2,53.0,22.0,39.82142857142857
1984,3,46.0,20.0,36.225806451612904
1984,4,62.0,42.0,50.96666666666667
1984,5,70.0,52.0,60.74193548387097
1984,6,84.0,60.0,73.8
1984,7,83.0,68.0,74.74193548387096
1984,8,84.0,70.0,77.2258064516129
1984,9,78.0,51.0,66.3
1984,10,72.0,50.0,61.74193548387097
1984,11,66.0,32.0,47.3
1984,12,58.0,32.0,43.70967741935484
1985,1,48.0,4.0,28.870967741935484
1985,2,55.0,18.0,34.642857142857146
1985,3,65.0,31.0,45.16129032258065
1985,4,70.0,37.0,54.06666666666667
1985,5,74.0,50.0,63.12903225806452
1985,6,79.0,60.0,68.2
1985,7,82.0,65.0,74.48387096774194
1985,8,83.0,67.0,73.7741935483871
1985,9,84.0,56.0,68.96666666666667
1985,10,68.0,46.0,58.54838709677419
1985,11,65.0,38.0,50.0
1985,12,46.0,18.0,33.74193548387097
1986,1,49.0,15.0,33.41935483870968
1986,2,42.0,22.0,31.714285714285715
1986,3,60.0,22.0,42.0
1986,4,64.0,39.0,51.8
1986,5,80.0,50.0,63.12903225806452
1986,6,80.0,55.0,69.86666666666666
1986,7,84.0,66.0,74.93548387096774
1986,8,80.0,58.0,72.74193548387096
1986,9,78.0,56.0,66.36666666666666
1986,10,77.0,44.0,57.064516129032256
1986,11,62.0,30.0,45.3
1986,12,54.0,28.0,39.58064516129032
1987,1,48.0,16.0,32.45161290322581
1987,2,42.0,15.0,32.535714285714285
1987,3,58.0,22.0,43.193548387096776
1987,4,62.0,40.0,51.1
1987,5,80.0,46.0,59.645161290322584
1987,6,82.0,60.0,71.1
1987,7,85.0,68.0,75.96774193548387
1987,8,86.0,62.0,72.70967741935483
1987,9,77.0,60.0,67.16666666666667
1987,10,62.0,45.0,53.58064516129032
1987,11,63.0,28.0,46.96666666666667
1987,12,51.0,16.0,39.25806451612903
1988,1,44.0,13.0,28.70967741935484
1988,2,48.0,18.0,33.857142857142854
1988,3,54.0,28.0,42.064516129032256
1988,4,60.0,42.0,49.56666666666667
1988,5,78.0,50.0,59.74193548387097
1988,6,84.0,56.0,69.73333333333333
1988,7,83.0,64.0,75.35483870967742
1988,8,86.0,64.0,76.03225806451613
1988,9,76.0,56.0,67.0
1988,10,67.0,37.0,52.516129032258064
1988,11,58.0,38.0,48.03333333333333
1988,12,48.0,13.0,35.774193548387096
1989,1,44.0,18.0,36.29032258064516
1989,2,50.0,24.0,33.642857142857146
1989,3,62.0,20.0,40.096774193548384
1989,4,60.0,42.0,49.93333333333333
1989,5,72.0,49.0,59.483870967741936
1989,6,80.0,61.0,71.2
1989,7,82.0,66.0,73.80645161290323
1989,8,84.0,65.0,73.51612903225806
1989,9,84.0,54.0,67.7
1989,10,66.0,47.0,57.45161290322581
1989,11,60.0,28.0,45.266666666666666
1989,12,38.0,14.0,26.419354838709676
1990,1,52.0,30.0,39.32258064516129
1990,2,54.0,16.0,38.67857142857143
1990,3,62.0,23.0,42.16129032258065
1990,4,66.0,40.0,49.9
1990,5,64.0,49.0,58.064516129032256
1990,6,78.0,60.0,68.76666666666667
1990,7,86.0,63.0,75.45161290322581
1990,8,80.0,62.0,74.96774193548387
1990,9,78.0,56.0,67.13333333333334
1990,10,74.0,45.0,61.29032258064516
1990,11,63.0,38.0,48.8
1990,12,53.0,26.0,41.58064516129032
1991,1,47.0,16.0,34.45161290322581
1991,2,52.0,22.0,38.82142857142857
1991,3,60.0,34.0,43.29032258064516
1991,4,68.0,40.0,52.0
1991,5,80.0,52.0,65.87096774193549
1991,6,86.0,58.0,72.06666666666666
1991,7,88.0,68.0,76.2258064516129
1991,8,83.0,68.0,76.74193548387096
1991,9,81.0,52.0,67.03333333333333
1991,10,70.0,45.0,58.25806451612903
1991,11,60.0,34.0,47.63333333333333
1991,12,55.0,21.0,40.0
1992,1,47.0,18.0,35.74193548387097
1992,2,50.0,22.0,36.17857142857143
1992,3,52.0,27.0,39.064516129032256
1992,4,64.0,40.0,48.1
1992,5,77.0,46.0,58.516129032258064
1992,6,74.0,60.0,67.76666666666667
1992,7,83.0,64.0,73.29032258064517
1992,8,80.0,64.0,72.09677419354838
1992,9,76.0,52.0,66.76666666666667
1992,10,67.0,42.0,54.096774193548384
1992,11,62.0,35.0,46.333333333333336
1992,12,50.0,24.0,37.54838709677419
1993,1,52.0,26.0,36.70967741935484
1993,2,40.0,18.0,30.428571428571427
1993,3,56.0,21.0,38.54838709677419
1993,4,58.0,38.0,49.96666666666667
1993,5,75.0,54.0,63.0
1993,6,81.0,59.0,70.1
1993,7,90.0,68.0,78.41935483870968
1993,8,82.0,68.0,74.83870967741936
1993,9,83.0,52.0,67.06666666666666
1993,10,64.0,46.0,55.41935483870968
1993,11,65.0,34.0,46.8
1993,12,50.0,16.0,36.83870967741935
1994,1,42.0,4.0,26.451612903225808
1994,2,42.0,14.0,29.214285714285715
1994,3,56.0,26.0,39.87096774193548
1994,4,63.0,44.0,52.96666666666667
1994,5,68.0,50.0,59.193548387096776
1994,6,86.0,64.0,71.46666666666667
1994,7,86.0,72.0,77.87096774193549
1994,8,79.0,66.0,72.06451612903226
1994,9,76.0,60.0,67.8
1994,10,64.0,52.0,57.096774193548384
1994,11,64.0,33.0,50.86666666666667
1994,12,56.0,27.0,41.774193548387096
1995,1,54.0,22.0,37.70967741935484
1995,2,43.0,13.0,31.392857142857142
1995,3,53.0,30.0,43.58064516129032
1995,4,62.0,32.0,50.2
1995,5,72.0,49.0,60.193548387096776
1995,6,82.0,60.0,69.93333333333334
1995,7,88.0,70.0,77.58064516129032
1995,8,84.0,70.0,76.96774193548387
1995,9,80.0,58.0,68.13333333333334
1995,10,74.0,52.0,61.70967741935484
1995,11,64.0,33.0,44.833333333333336
1995,12,47.0,22.0,33.83870967741935
1996,1,44.0,14.0,31.29032258064516
1996,2,55.0,12.0,33.857142857142854
1996,3,51.0,20.0,37.61290322580645
1996,4,64.0,36.0,49.86666666666667
1996,5,79.0,46.0,58.096774193548384
1996,6,80.0,57.0,69.26666666666667
1996,7,80.0,66.0,71.45161290322581
1996,8,78.0,66.0,72.61290322580645
1996,9,80.0,57.0,67.8
1996,10,66.0,47.0,55.483870967741936
1996,11,62.0,26.0,42.3
1996,12,52.0,24.0,40.38709677419355
1997,1,50.0,12.0,31.548387096774192
1997,2,55.0,26.0,38.75
1997,3,59.0,32.0,42.41935483870968
1997,4,60.0,36.0,49.46666666666667
1997,5,66.0,49.0,57.354838709677416
1997,6,82.0,56.0,68.5
1997,7,83.0,62.0,74.09677419354838
1997,8,83.0,66.0,72.48387096774194
1997,9,78.0,56.0,68.06666666666666
1997,10,76.0,46.0,57.645161290322584
1997,11,62.0,34.0,44.766666666666666
1997,12,46.0,26.0,37.774193548387096
1998,1,52.0,22.0,39.25806451612903
1998,2,50.0,26.0,39.535714285714285
1998,3,64.0,24.0,42.29032258064516
1998,4,59.0,44.0,51.233333333333334
1998,5,74.0,48.0,61.25806451612903
1998,6,83.0,59.0,67.63333333333334
1998,7,86.0,66.0,75.45161290322581
1998,8,83.0,66.0,75.6774193548387
1998,9,79.0,56.0,69.13333333333334
1998,10,68.0,48.0,57.32258064516129
1998,11,56.0,41.0,47.4
1998,12,62.0,22.0,41.67741935483871
1999,1,48.0,17.0,33.74193548387097
1999,2,46.0,20.0,36.035714285714285
1999,3,58.0,26.0,41.32258064516129
1999,4,64.0,42.0,51.36666666666667
1999,5,74.0,53.0,60.806451612903224
1999,6,83.0,62.0,70.53333333333333
1999,7,92.0,67.0,78.16129032258064
1999,8,87.0,62.0,74.48387096774194
1999,9,76.0,56.0,68.43333333333334
1999,10,68.0,46.0,55.16129032258065
1999,11,62.0,34.0,49.766666666666666
1999,12,54.0,24.0,39.516129032258064
2000,1,52.0,11.0,30.419354838709676
2000,2,44.0,24.0,33.125
2000,3,49.0,29.0,40.193548387096776
